3482	80201
25925	84561
6124	10153
2215	4210
4864	7569
5471	10083
7007	26986
51073	112724
2935	94240
4853	6330
5740	6464
1977	7884
279	221264
7157	51102
292	521
3096	6208
3646	6128
3339	9276
9001	57144
416	23013
9276	84617
7266	7272
85415	117583
8294	8360
2006	79677
5156	9361
5933	115752
51311	92399
5568	7157
1977	8894
4519	7287
1258	2615
2157	3693
1287	4508
1662	65095
522	4724
3797	23613
3122	10479
7157	138199
6261	54600
10300	26056
921	5927
1937	6164
944	3034
1301	7456
3783	84171
2209	2676
10963	11018
7273	10051
1457	5175
2898	23225
10714	79754
8850	92815
4736	27335
6136	9061
773	7287
6535	10083
331	57030
6344	9545
1140	2674
3419	85417
3821	4326
7157	10670
2056	2057
23063	57634
9975	25885
3015	8370
2212	8745
27340	65083
27	4967
3957	51176
2318	55837
2826	22918
6642	9551
4499	7273
672	2889
6208	8653
2709	7292
7278	55819
6117	7507
79902	129401
10102	10300
2157	25888
5933	6336
8289	11018
5829	5993
8673	8773
4162	4538
22794	26019
1973	8805
9879	256364
3547	51386
650	2820
3361	3697
51807	54617
7157	9724
1109	2182
7162	91807
23410	51548
1917	203068
4536	64324
6159	9777
1736	55505
22885	23198
1363	2189
10907	11051
8437	53632
6019	122042
1973	10383
11137	26354
794	7157
4638	55095
3617	10391
25780	79677
10279	11112
1844	79720
9619	59269
2151	8841
6634	23451
6002	54101
4790	5994
1363	10013
1854	6675
6132	29927
2151	9899
4438	7225
6908	10856
7097	10717
999	5792
4168	6470
7157	8553
4237	9079
9972	10014
288	3172
393	1601
1871	7157
7415	10134
3959	4619
1915	11326
5094	54674
4129	5692
10291	22916
5873	80201
4842	9531
1548	2072
29088	64979
4317	9962
4670	10181
667	4354
1329	1537
6341	9997
7306	11054
8202	55258
4139	8727
7350	65083
6948	7038
1290	2254
3059	10097
5290	27316
1436	152926
5187	7157
7096	9826
5244	83694
4540	132625
1267	1280
8339	10105
7124	79784
1352	6341
83443	84844
7252	23517
3064	23345
1654	1974
6257	7037
5923	115352
5187	51433
259266	282991
4986	10327
776	10507
991	4071
4839	4931
126	2334
2046	9448
6130	6208
23092	137970
1767	6095
10598	51291
4478	23513
9933	55553
6814	29097
3692	51154
5298	6092
641	84073
774	26268
2861	7827
3075	8900
10125	90627
7343	50617
6155	29889
5649	6833
4703	84665
6160	6191
2045	4841
2140	64083
9933	26155
4809	57674
369	25897
6193	25885
274	54674
3823	10053
775	56934
55622	57647
338	8085
440	8398
629	7157
5434	6634
1947	4653
22895	28996
833	22858
3959	7150
8797	9355
8438	9507
847	3162
331	23524
7458	51121
6531	7874
2191	3899
632	117289
2888	83990
2175	23223
288	137970
60	10382
1639	2309
1284	7352
5054	139105
688	6262
2245	10788
1378	5457
10268	55705
25879	57109
3836	22894
7189	8878
7153	8776
204	1537
5737	6833
7317	84528
7294	26228
6132	6136
2237	4519
338	583
651	6261
3181	5151
6633	10291
24	1823
8310	55183
10477	23404
3646	64207
2783	5933
3135	4353
359	5213
3804	23013
51386	55148
3309	7059
51616	54457
7038	11184
2979	4159
79057	114548
5682	6921
6129	6206
11103	84365
23054	80331
4752	151742
3921	51121
5473	51540
6576	80005
7185	10293
2937	26137
160	23020
7100	7568
4619	56949
6118	6992
3948	23314
6098	196883
8074	8822
8339	55705
28987	51082
9360	11273
3843	25873
3756	6934
10945	55738
4914	23345
1665	10594
2817	85403
3073	5991
291	498
54843	408050
1736	55131
1005	10940
1778	2045
4054	22976
498	1653
2009	4059
1297	5081
1258	90134
1562	6692
9584	10142
4915	56474
1359	5137
6222	6227
1514	4750
6572	7450
224	3624
1005	6653
2828	4194
5506	5900
830	11337
6160	6165
2131	84446
2804	8787
3948	5506
3146	151473
6715	27349
8764	56886
6129	6141
10955	26227
3069	29789
6560	9585
6926	55734
7278	57510
316	10142
7157	92345
1823	5284
2804	56929
3032	4724
6122	9051
3977	23304
1874	5925
8329	121504
